student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0321,Jonathan Vance,[CS54,CS51],[CS181DV,CS105],2026,Non-major
S0322,Toni Castillo,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0323,David Dominguez,[CS140,CS51,CS62,CS101,CS54],[CS140,CS133],2028,CS minor
S0324,Miguel Jones,[CS101,CS54,CS51,CS62],[],2026,Non-major
S0325,Jesse Williams,[CS51],[],2028,Non-major
S0326,Tina Steele,[CS54,CS140,CS51,CS62],[],2027,Non-major
S0327,Timothy Gardner,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0328,Shawn Dunn,[CS140,CS51,CS62,CS101,CS54],[CS101,CS181DV],2028,CS minor
S0329,Timothy West,[],[CS105,CS181DV],2025,CS minor
S0330,Brenda Bates,[CS51,CS62,CS105,CS101,CS54],[CS101],2027,CS major
S0331,Steven George,[],[],2028,CS minor
S0332,Joshua Arnold,[CS51,CS62],[],2026,Non-major
S0333,Johnny Alexander,[],[CS122,CS158],2025,Non-major
S0334,Dalton Arnold,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2025,CS major
S0335,Nicole Daniels,[CS101,CS54,CS51,CS62],[CS138],2026,Non-major
S0336,Joshua Anthony,[CS51,CS62,CS105,CS101,CS54],[CS132,CS181AA],2028,CS major
S0337,Amber Chambers,[CS54,CS51],[],2027,Non-major
S0338,Cynthia Davis,[CS51,CS62,CS105,CS101,CS54],[CS140,CS105],2027,Non-major
S0339,Mr. Luis Johnson,[],[CS181AA],2025,Non-major
S0340,Michael Ellis,[CS140,CS51,CS62,CS105,CS54],[],2026,CS minor
S0341,Joseph Diaz,[CS62,CS54,CS51,CS140],[CS181AA,CS153],2027,CS minor
S0342,Pamela Porter,[],[CS101,CS153],2028,Non-major
S0343,William Townsend,[CS62,CS54,CS51,CS140],[],2026,CS major
S0344,Nathan Ford,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2026,Non-major
S0345,Carol Harris,[],[CS181DV,CS105],2028,Non-major
S0346,Tabitha Miller,[CS54,CS51],[CS181AA],2027,CS major
S0347,Rebecca Mills,[CS51,CS62],[CS101,CS138],2027,CS minor
S0348,Melissa Gibson,[],[],2026,CS major
S0349,Anna Freeman,[CS101,CS54,CS51,CS62],[CS140],2027,Non-major
S0350,Brad Roberts,[CS51,CS62,CS105,CS101,CS54],[CS181DV,CS158],2025,Non-major
S0351,Bradley Vaughn Jr.,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0352,Suzanne Skinner,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS158],2028,Non-major
S0353,Scott Santana,[],[],2028,CS minor
S0354,Gregory Nunez,[CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS minor
S0355,William Mills,[CS51,CS62,CS105,CS101,CS54],[CS101],2027,Non-major
S0356,Dennis Woodward,[],[],2026,CS minor
S0357,Eric Lewis,[CS140,CS51,CS62,CS101,CS54],[CS153,CS158],2026,CS minor
S0358,Jerry Fernandez,[CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0359,Leslie Aguilar,[CS54,CS51,CS62],[CS122],2026,Non-major
S0360,Jermaine Galvan,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2025,CS major
S0361,Lori Burns,[CS54,CS51,CS62,CS105],[],2025,CS major
S0362,Joseph Zimmerman,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2026,Non-major
S0363,Julie Patton,[CS140,CS51,CS62,CS105,CS54],[],2025,CS major
S0364,Cristian Chapman,[],[CS101,CS138],2025,CS minor
S0365,Elaine Bush,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS158],2025,CS minor
S0366,Travis Mayo,[CS54,CS51,CS62,CS105],[CS140],2025,CS minor
S0367,Jamie Morris,[CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0368,Christopher Murray,[CS54,CS51,CS62,CS105],[CS181AA],2027,CS major
S0369,Patrick Sullivan,[CS54,CS51],[CS133],2025,CS major
S0370,Michelle Sellers,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2028,Non-major
S0371,Rebecca Powell,[],[],2028,Non-major
S0372,Laura Olsen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS122],2025,CS major
S0373,Max Flores,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS101],2027,Non-major
S0374,Nichole Wilson,[CS51,CS62,CS105,CS101,CS54],[CS122,CS101],2026,CS major
S0375,Kristin Maxwell,[],[],2027,CS major
S0376,Cynthia Harris,[CS54,CS51,CS62],[CS122,CS153],2028,CS minor
S0377,Charles Joseph,[],[CS181AA],2025,Non-major
S0378,Reginald Farley,[CS62,CS54,CS51,CS140],[],2026,CS major
S0379,Mary Saunders,[CS62,CS54,CS51,CS140],[],2027,CS minor
S0380,Margaret Hicks,[CS101,CS54,CS51,CS62],[],2028,CS minor
S0381,Michael Fisher,[CS54,CS51,CS62,CS105],[CS158],2028,CS major
S0382,Joe Brewer,[],[CS105,CS153],2025,CS major
S0383,Vincent Pittman,[CS54,CS51,CS62,CS105],[],2026,Non-major
S0384,Colin Lewis,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0385,Sarah Walton,[CS140,CS51,CS62,CS101,CS54],[],2025,Non-major
S0386,Caitlin Morales,[CS140,CS51,CS62,CS101,CS54],[],2027,Non-major
S0387,Yesenia Cooper,[CS101,CS54,CS51,CS62],[],2027,CS minor
S0388,William Crosby,[CS51,CS62],[CS140,CS101],2025,CS major
S0389,David Fowler,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2025,CS major
S0390,Sean James,[CS54,CS51,CS62],[CS181AA],2025,CS major
S0391,Martin Huffman,[CS54,CS51,CS62,CS105],[CS181DV],2025,CS minor
S0392,Michele Cardenas,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS181DV],2026,Non-major
S0393,Lisa Brown,[CS140,CS51,CS62,CS105,CS54],[CS158],2028,CS major
S0394,Hunter Rose,[CS140,CS51,CS62,CS105,CS54],[CS132,CS158],2028,Non-major
S0395,Mrs. Megan Hernandez,[CS140,CS51,CS62,CS101,CS54],[],2026,CS major
S0396,Sydney Gomez,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0397,Daniel Taylor,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2027,Non-major
S0398,David Williams,[CS62,CS54,CS51,CS140],[CS140,CS158],2027,CS major
S0399,Daniel Taylor,[CS54,CS51,CS62,CS105],[],2026,CS major
S0400,Susan Miller,[CS54,CS51,CS62,CS105],[],2028,CS minor
S0401,Michael Gardner,[],[CS132,CS122],2026,CS major
S0402,Kara Marshall,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0403,Jessica Carey,[CS140,CS51,CS62,CS105,CS54],[],2026,CS minor
S0404,Danielle Hill,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0405,Timothy Phillips,[CS101,CS54,CS51,CS62],[CS101],2025,Non-major
S0406,Heather Gonzalez,[CS140,CS51,CS62,CS101,CS54],[],2026,CS minor
S0407,Tara Sandoval,[CS62,CS54,CS51,CS140],[CS122],2027,CS major
S0408,Gabriel Yu,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS140],2026,CS minor
S0409,Ashley Green,[CS140,CS51,CS62,CS101,CS54],[CS158],2027,CS major
S0410,Angela Tyler,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0411,Valerie Branch,[CS140,CS51,CS62,CS105,CS54],[CS181AA],2028,CS minor
S0412,Angela Barber,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS major
S0413,John Snyder,[CS51,CS62,CS105,CS101,CS54],[CS105,CS181DV],2027,Non-major
S0414,Alexis Ayala,[CS140,CS51,CS62,CS105,CS54],[CS138,CS181AA],2026,CS minor
S0415,Diane Henderson,[CS51,CS62,CS105,CS101,CS54],[CS105,CS101],2027,CS minor
S0416,Mark Baker,[CS101,CS54,CS51,CS62],[CS158],2026,CS major
S0417,Frank Stanley,[],[CS101],2027,CS major
S0418,Teresa Miller,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS138],2026,CS minor
S0419,Alec Hicks,[CS101,CS54,CS51,CS62],[CS181DV,CS140],2027,CS major
S0420,Jesus Meyer,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0421,Stacy Jordan,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0422,Robert Burke,[],[CS138],2027,Non-major
S0423,David Rodriguez,[],[],2027,CS minor
S0424,Joshua Russo,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS132],2025,CS minor
S0425,Noah Tucker Jr.,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS153],2025,CS major
S0426,Daniel Christensen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS major
S0427,Robert Lopez,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0428,David Weeks,[CS54,CS51],[CS158,CS101],2025,CS major
S0429,Dr. Randall Alexander,[],[],2028,CS minor
S0430,Nicole Levine MD,[CS54,CS51,CS62,CS105],[CS181AA],2026,CS minor
S0431,Michele Adams,[],[CS105,CS181DV],2025,CS minor
S0432,Frank Coleman,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS138],2027,CS major
S0433,Thomas Morales,[CS62,CS54,CS51,CS140],[CS132,CS122],2025,Non-major
S0434,Deborah Hicks,[],[CS181AA],2026,CS major
S0435,Beth Rhodes,[CS101,CS54,CS51,CS62],[],2025,CS major
S0436,John Burns,[],[],2026,CS major
S0437,Michelle Jacobson,[CS54,CS51,CS62,CS105],[],2026,Non-major
S0438,Chelsea Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,Non-major
S0439,William Wilcox,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0440,Kevin Hatfield,[CS140,CS51,CS62,CS105,CS54],[CS158],2028,CS major
S0441,Charles West,[CS54,CS51,CS62,CS105],[],2026,CS major
S0442,Debra Morgan,[CS54,CS51,CS62],[CS105],2028,CS major
S0443,Robin Parker,[CS101,CS54,CS51,CS62],[],2027,CS major
S0444,Elizabeth Armstrong,[CS62,CS54,CS51,CS140],[],2028,CS major
S0445,Nathan King,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS153],2027,Non-major
S0446,David White,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS133],2027,Non-major
S0447,Rose Gray,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS138],2027,CS minor
S0448,Wanda Williams,[CS54,CS51,CS62,CS105],[CS181DV],2027,Non-major
S0449,Laurie Daniels,[CS54,CS51,CS62,CS105],[],2026,CS major
S0450,Taylor Diaz,[CS62,CS54,CS51,CS140],[CS181AA],2028,CS minor
S0451,George Kirby,[CS51,CS62,CS105,CS101,CS54],[CS140],2026,CS minor
S0452,Rachel Montgomery,[CS51],[CS138,CS132],2026,CS minor
S0453,Brian Smith,[CS54,CS51,CS62,CS105],[CS140,CS181AA],2026,CS minor
S0454,Gabriel Clay,[CS101,CS54,CS51,CS62],[CS181DV,CS158],2028,CS major
S0455,Valerie Rodriguez,[CS140,CS51,CS62,CS101,CS54],[CS133],2025,CS major
S0456,Julia Miranda,[CS140,CS51,CS62,CS101,CS54],[CS101],2028,Non-major
S0457,Kathleen Graham,[CS140,CS51,CS62,CS101,CS54],[CS132],2026,CS major
S0458,Taylor Shaffer,[CS51,CS62,CS105,CS101,CS54],[CS101,CS132],2026,Non-major
S0459,Bradley Evans,[CS62,CS54,CS51,CS140],[CS140],2028,Non-major
S0460,Jennifer Larson,[CS51,CS62],[CS140],2026,Non-major
S0461,Kayla Miller,[CS51,CS62],[CS158],2025,CS minor
S0462,James Montgomery,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0463,Sarah Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S0464,Jose Williams,[],[CS133],2027,CS major
S0465,Alyssa Davis,[CS140,CS51,CS62,CS105,CS54],[CS181DV,CS140],2028,CS minor
S0466,Tiffany Thomas,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS138],2028,CS major
S0467,Jennifer Durham,[CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0468,Lisa Morales,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS140],2026,CS major
S0469,Michael Nelson,[CS140,CS51,CS62,CS105,CS54],[CS140,CS105],2026,CS major
S0470,Gary Brown,[],[CS158],2026,CS major
S0471,Dale Wright,[CS101,CS54,CS51,CS62],[CS133],2027,CS major
S0472,Christopher Buckley,[CS54,CS51],[CS101],2026,CS minor
S0473,Bridget Medina,[CS140,CS51,CS62,CS101,CS54],[],2026,CS minor
S0474,Patricia Mcconnell,[],[CS105,CS181DV],2028,CS minor
S0475,Calvin Taylor,[CS51,CS62],[CS181DV],2027,Non-major
S0476,Steven Mercer,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS122],2025,CS minor
S0477,Justin Taylor,[CS62,CS54,CS51,CS140],[],2027,CS major
S0478,Jason Lewis,[CS140,CS51,CS62,CS105,CS54],[],2028,CS major
S0479,Maria Mullins,[CS62,CS54,CS51,CS140],[CS105],2026,CS minor
S0480,Michael Richards,[CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0481,Jacqueline Simpson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS181DV],2027,CS major
S0482,Rodney Knight,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2027,Non-major
S0483,Rhonda Jackson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0484,Andrew Daniels,[CS51,CS62],[],2025,Non-major
S0485,Brandon Gibson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0486,Brittany Young,[CS51],[],2028,Non-major
S0487,William Peters,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0488,Jeremy Lyons,[],[CS140,CS133],2026,CS minor
S0489,Jordan Lyons,[CS51],[],2025,CS minor
S0490,James Booth,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS158],2027,CS major
S0491,Kevin Brown,[],[CS181DV],2025,CS minor
S0492,Rebecca Cook,[],[CS105],2028,CS major
S0493,Joseph Young,[],[CS153],2025,Non-major
S0494,Tonya Becker,[CS51,CS62,CS105,CS101,CS54],[CS140,CS133],2028,CS minor
S0495,Mrs. Latoya Tapia DDS,[CS54,CS51,CS62,CS105],[CS158],2028,CS minor
S0496,Mario Morris,[CS54,CS51,CS62,CS105],[CS140,CS181DV],2027,CS major
S0497,Claudia Francis,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0498,Grace Taylor,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS181AA],2026,CS major
S0499,Michael Andrews,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS140],2028,CS minor
S0500,Jeanette Potter,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0501,Amanda Brooks,[CS140,CS51,CS62,CS101,CS54],[],2028,CS major
S0502,Travis Liu,[],[CS133],2027,Non-major
S0503,Daniel Curry,[CS51,CS62],[],2027,CS major
S0504,Hannah Cardenas,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS133],2026,CS minor
S0505,Jonathan Brown,[],[],2028,CS minor
S0506,Barbara Meyer,[],[],2028,Non-major
S0507,Gary Mckinney,[CS51],[],2028,CS minor
S0508,Benjamin Caldwell,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS138],2028,CS minor
S0509,Laura Rose,[CS62,CS54,CS51,CS140],[CS132,CS181DV],2026,Non-major
S0510,Joshua Petersen,[],[CS138],2026,Non-major
S0511,Stephanie Ruiz,[CS140,CS51,CS62,CS105,CS54],[CS181AA],2025,CS minor
S0512,Caitlyn Marshall,[CS54,CS51],[CS122],2026,CS minor
S0513,Kenneth Smith,[CS54,CS51],[CS158,CS132],2028,CS major
S0514,Matthew Shields,[],[CS181AA,CS105],2025,CS major
S0515,Charles Salazar,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2025,Non-major
S0516,Kristie Clayton,[],[CS181DV,CS153],2027,Non-major
S0517,Craig Schmidt,[CS140,CS51,CS62,CS105,CS54],[CS181AA,CS133],2028,CS minor
S0518,Jose Franklin,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS158],2028,Non-major
S0519,William Jarvis,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS181DV],2026,CS minor
S0520,Billy Briggs,[],[],2026,CS minor
S0521,Rhonda Pitts,[CS101,CS54,CS51,CS62],[],2027,CS major
S0522,Brandon Edwards,[CS140,CS51,CS62,CS105,CS54],[],2026,CS minor
S0523,Daniel Kennedy,[CS51,CS62,CS105,CS101,CS54],[CS133],2028,CS minor
S0524,Diane Williams,[CS140,CS51,CS62,CS105,CS54],[CS132],2026,CS minor
S0525,Bradley Michael,[CS51],[CS153],2027,CS minor
S0526,Jennifer Adams,[],[],2025,CS major
S0527,Frank Vargas,[CS62,CS54,CS51,CS140],[CS122,CS101],2027,CS minor
S0528,Adam Matthews,[CS54,CS51,CS62,CS140],[],2027,Non-major
S0529,Wendy Jenkins,[CS54,CS51,CS62,CS105],[CS101,CS181AA],2028,CS minor
S0530,Jason Perez,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0531,Heather Smith,[CS54,CS51,CS62,CS105],[CS133,CS101],2026,CS major
S0532,Michael Young,[],[],2027,CS major
S0533,Crystal Collins,[CS101,CS54,CS51,CS62],[CS158,CS181DV],2025,CS major
S0534,Christopher Hansen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS181DV],2028,CS major
S0535,John Harrington,[],[CS153],2028,CS minor
S0536,Sean Underwood,[CS101,CS54,CS51,CS62],[CS133],2028,Non-major
S0537,Janet Davis,[CS101,CS54,CS51,CS62],[],2025,Non-major
S0538,Brandon Ramirez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS181DV],2028,Non-major
S0539,Joshua Sanders,[CS140,CS51,CS62,CS105,CS54],[CS140,CS133],2027,Non-major
S0540,Melinda Castillo,[CS54,CS51,CS62,CS105],[CS105,CS132],2028,CS major
S0541,Stephanie Carter,[],[],2028,Non-major
S0542,Tina Harrison,[CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0543,Dylan Scott,[CS62,CS54,CS51,CS140],[CS132,CS101],2028,Non-major
S0544,Jerry Miles,[CS140,CS51,CS62,CS105,CS54],[CS140],2028,CS major
S0545,Makayla Henry,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS101],2027,CS minor
S0546,Beth Blackwell,[],[],2026,Non-major
S0547,Daniel Hernandez,[CS101,CS54,CS51,CS62],[CS138],2028,CS major
S0548,Alexandra Powers,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS122],2027,Non-major
S0549,Sue Rivera,[CS51,CS62,CS105,CS101,CS54],[CS140],2027,CS minor
S0550,Brian Lam,[],[],2025,CS minor
S0551,Jesse Smith,[CS51,CS62],[],2028,Non-major
S0552,Whitney Flores,[CS101,CS54,CS51,CS62],[CS158,CS140],2028,Non-major
S0553,Patrick Delgado,[],[CS181AA],2025,CS major
S0554,Catherine Baxter,[],[],2026,Non-major
S0555,Christina Solis,[CS62,CS54,CS51,CS140],[CS138],2027,CS minor
S0556,Alan Gardner,[CS51],[CS105],2025,Non-major
S0557,Jeff Harris,[CS62,CS54,CS51,CS140],[],2026,Non-major
S0558,Nicholas Jackson,[],[CS105],2027,Non-major
S0559,Miranda Singh,[CS62,CS54,CS51,CS140],[],2028,CS minor
S0560,Jason Underwood,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122],2026,Non-major
S0561,Bianca Valenzuela,[CS54,CS51,CS62],[],2025,Non-major
S0562,Jessica Walter,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0563,Daniel Ferguson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS140],2028,Non-major
S0564,Ronald Curtis,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS101],2025,CS minor
S0565,Jessica Davenport,[CS140,CS51,CS62,CS105,CS54],[CS158],2025,CS major
S0566,Christina Holland,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS133],2028,CS minor
S0567,Reginald Vincent,[CS54,CS51,CS62,CS105],[],2028,CS minor
S0568,Taylor Johnson,[CS51,CS62,CS105,CS101,CS54],[CS181AA],2025,CS minor
S0569,Kelsey Bowers,[CS140,CS51,CS62,CS105,CS54],[CS132,CS101],2025,CS minor
S0570,Mike Clark,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0571,Michael Perez,[CS62,CS54,CS51,CS140],[],2027,CS major
S0572,James Clark,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,CS major
S0573,Jonathan Pham,[],[CS105],2026,CS minor
S0574,Douglas Rice,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS181AA],2027,Non-major
S0575,Thomas Sanders,[CS140,CS51,CS62,CS105,CS54],[],2025,CS major
S0576,Connor Miller,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2027,Non-major
S0577,Mason Walker,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2026,CS minor
S0578,Angela Anderson,[CS101,CS54,CS51,CS62],[CS153],2026,CS minor
S0579,Susan Lopez,[CS140,CS51,CS62,CS101,CS54],[],2027,CS major
S0580,Karina Henry,[CS51,CS62,CS105,CS101,CS54],[CS153],2027,Non-major
S0581,Teresa Riley,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS122],2028,Non-major
S0582,Danielle Franklin,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2027,CS minor
S0583,Alex Castro,[CS51,CS62,CS105,CS101,CS54],[CS132],2026,CS minor
S0584,Emily Wilson PhD,[],[CS101,CS122],2027,CS major
S0585,William Williams,[CS62,CS54,CS51,CS140],[CS138],2026,CS minor
S0586,Wendy Kline,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS140],2026,CS minor
S0587,Heather Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2025,CS major
S0588,Nicholas Jones,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS133],2026,CS minor
S0589,Jessica Bullock,[CS51,CS62,CS105,CS101,CS54],[CS181AA],2028,Non-major
S0590,Karen Munoz,[CS140,CS51,CS62,CS105,CS54],[CS132],2026,Non-major
S0591,Shelley Mitchell,[CS54,CS140,CS51,CS62],[],2025,CS minor
S0592,Joy Carney,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS140],2028,CS minor
S0593,Robert Wright,[CS101,CS54,CS51,CS62],[CS138],2026,Non-major
S0594,Sylvia Bryant,[CS54,CS51,CS62,CS105],[CS122],2027,CS major
S0595,Meagan Rodriguez,[CS54,CS51],[CS105],2028,Non-major
S0596,Pamela Stevenson,[],[],2025,CS major
S0597,Steven Brown,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0598,Samantha Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122],2026,CS major
S0599,Natasha Wilson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS140],2026,CS minor
S0600,Christina Turner,[CS54,CS51],[CS158,CS181AA],2028,CS major
S0601,Adam Hall PhD,[],[CS133],2026,CS minor
S0602,Donald Lynch,[CS54,CS51,CS62,CS105],[],2026,CS major
S0603,Jonathan Weber,[CS51,CS62],[CS181DV],2025,CS minor
S0604,Jeffrey Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS158],2025,Non-major
S0605,Marc Dunn,[CS101,CS54,CS51,CS62],[CS181DV],2026,CS major
S0606,Joel Herrera,[CS140,CS51,CS62,CS105,CS54],[CS181AA],2028,CS major
S0607,Melissa Collins,[CS54,CS51,CS62,CS105],[CS158],2028,CS major
S0608,Marcia Rivera,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS158],2027,CS minor
S0609,Matthew Beard,[],[CS105],2026,CS major
S0610,Angela Sanders,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS138],2025,CS minor
S0611,Darlene Garcia,[CS101,CS54,CS51,CS62],[],2026,Non-major
S0612,James Bailey,[CS54,CS51],[CS138],2027,CS minor
S0613,Jennifer Williams,[CS140,CS51,CS62,CS101,CS54],[CS133,CS181DV],2028,Non-major
S0614,Kelly Barnett,[CS54,CS51,CS62],[CS133],2025,CS minor
S0615,Edward Norton,[CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0616,Justin Williams,[CS54,CS51,CS62,CS105],[],2025,CS major
S0617,Lindsey James,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0618,April Carpenter MD,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS minor
S0619,Michael Lee,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0620,Madison Harmon,[CS140,CS51,CS62,CS105,CS54],[CS101],2028,CS minor
S0621,Elizabeth Bass,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2028,Non-major
S0622,Danielle Terrell,[CS51,CS62],[],2026,Non-major
S0623,Matthew Keith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2027,CS major
S0624,James Thompson Jr.,[],[],2028,CS minor
S0625,Aaron Fox,[],[],2027,Non-major
S0626,Dr. Tanya Medina MD,[CS51,CS62],[CS158,CS122],2028,CS major
S0627,Gary Sanchez,[CS54,CS51],[CS181AA,CS122],2025,CS major
S0628,Mary Aguilar,[],[CS140,CS122],2025,Non-major
S0629,Craig Macias,[CS140,CS51,CS62,CS105,CS54],[CS132],2028,CS major
S0630,Melissa Payne,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2028,CS major
S0631,Anthony Robles,[CS101,CS54,CS51,CS62],[CS133,CS181DV],2027,Non-major
S0632,Charles Ochoa,[CS140,CS51,CS62,CS101,CS54],[CS138],2026,CS major
S0633,Joseph Barton,[CS62,CS54,CS51,CS140],[CS138,CS181DV],2027,CS minor
S0634,Lindsay Nichols,[CS51,CS62,CS105,CS101,CS54],[CS133,CS140],2028,CS major
S0635,Tracy Evans,[CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0636,Linda Stewart,[CS62,CS54,CS51,CS140],[],2025,Non-major
S0637,Joseph Mcmahon,[CS51],[CS105,CS181DV],2025,CS minor
S0638,Chelsea Hardin,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS153],2027,Non-major
S0639,Michael Chan,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,Non-major
S0640,Rodney Wood,[CS140,CS51,CS62,CS101,CS54],[],2027,Non-major
S0641,Lawrence Taylor,[],[],2028,CS major
S0642,Christina Schwartz,[],[],2028,Non-major
S0643,Michelle Stewart,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0644,Michael Lawson,[CS140,CS51,CS62,CS105,CS54],[CS138],2025,CS major
S0645,Jason Braun,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2025,CS major
S0646,Tonya Mcguire,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS181DV],2028,Non-major
S0647,Deborah Stephens,[CS51,CS62],[CS158,CS153],2027,CS minor
